No. ,Orgin date,Longitude(E),Latitude(N),Magnitude,Depth,Location
Small area,2024-05-22 11:09:02,122.538,24.3517,4.6,62,24.35N 122.54E, i.e. 89.1 km ESE of Yilan County(24.35N 122.54E, i.e. 89.1 km ESE of Yilan County)
Small area,2024-05-22 09:14:27,121.947,24.4368,3.4,15.4,24.44N 121.95E, i.e. 37.5 km SSE of Yilan County(24.44N 121.95E, i.e. 37.5 km SSE of Yilan County)
Small area,2024-05-21 17:16:48,122.65,24.572,4.6,101.2,24.57N 122.65E, i.e. 91.5 km E of Yilan County(24.57N 122.65E, i.e. 91.5 km E of Yilan County)
Small area,2024-05-20 18:50:51,121.813,24.1602,3.4,21.1,24.16N 121.81E, i.e. 27.1 km NE of Hualien County(24.16N 121.81E, i.e. 27.1 km NE of Hualien County)
Small area,2024-05-20 17:22:32,121.817,24.151,4,20.1,24.15N 121.82E, i.e. 26.7 km NE of Hualien County(24.15N 121.82E, i.e. 26.7 km NE of Hualien County)
Small area,2024-05-20 17:20:15,121.831,24.1535,4.4,22.1,24.15N 121.83E, i.e. 28.0 km NE of Hualien County(24.15N 121.83E, i.e. 28.0 km NE of Hualien County)
Small area,2024-05-20 15:56:02,122.348,23.9713,4.7,23,23.97N 122.35E, i.e. 74.1 km E of Hualien County(23.97N 122.35E, i.e. 74.1 km E of Hualien County)
Small area,2024-05-20 06:19:16,121.667,24.0492,3.3,21.5,24.05N 121.67E, i.e. 8.0 km NE of Hualien County(24.05N 121.67E, i.e. 8.0 km NE of Hualien County)
395   ,2024-05-20 04:35:41,120.515,23.2372,4.2,16.9,23.24N 120.51E, i.e. 43.3 km NE of Tainan City(23.24N 120.51E, i.e. 43.3 km NE of Tainan City)
394   ,2024-05-19 21:52:06,121.768,24.0598,4.3,26.8,24.06N 121.77E, i.e. 16.8 km ENE of Hualien County(24.06N 121.77E, i.e. 16.8 km ENE of Hualien County)
Small area,2024-05-19 19:22:32,121.838,24.2617,3.7,6.6,24.26N 121.84E, i.e. 37.3 km NE of Hualien County(24.26N 121.84E, i.e. 37.3 km NE of Hualien County)
Small area,2024-05-19 17:50:24,121.729,24.1788,3.2,14,24.18N 121.73E, i.e. 23.6 km NNE of Hualien County(24.18N 121.73E, i.e. 23.6 km NNE of Hualien County)
Small area,2024-05-19 16:23:52,121.434,23.6872,3.5,8.1,23.69N 121.43E, i.e. 38.6 km SSW of Hualien County(23.69N 121.43E, i.e. 38.6 km SSW of Hualien County)
Small area,2024-05-19 16:18:09,121.707,24.0572,3.5,30.2,24.06N 121.71E, i.e. 11.5 km NE of Hualien County(24.06N 121.71E, i.e. 11.5 km NE of Hualien County)
393   ,2024-05-19 10:55:21,121.776,24.1873,4.2,19.5,24.19N 121.78E, i.e. 26.9 km NE of Hualien County(24.19N 121.78E, i.e. 26.9 km NE of Hualien County)
Small area,2024-05-19 02:00:30,121.799,23.793,4.3,9.4,23.79N 121.80E, i.e. 28.5 km SE of Hualien County(23.79N 121.80E, i.e. 28.5 km SE of Hualien County)
Small area,2024-05-18 18:21:36,121.618,23.8373,3.8,35.3,23.84N 121.62E, i.e. 17.0 km S of Hualien County(23.84N 121.62E, i.e. 17.0 km S of Hualien County)
Small area,2024-05-18 15:45:11,121.474,23.9097,3.3,15.5,23.91N 121.47E, i.e. 17.4 km WSW of Hualien County(23.91N 121.47E, i.e. 17.4 km WSW of Hualien County)
Small area,2024-05-18 06:33:07,121.566,23.9397,3,6.8,23.94N 121.57E, i.e. 7.9 km SW of Hualien County(23.94N 121.57E, i.e. 7.9 km SW of Hualien County)
Small area,2024-05-18 05:00:49,121.561,23.7477,3.2,6.9,23.75N 121.56E, i.e. 27.6 km SSW of Hualien County(23.75N 121.56E, i.e. 27.6 km SSW of Hualien County)
Small area,2024-05-17 16:21:49,121.559,23.828,3.3,6.2,23.83N 121.56E, i.e. 19.1 km SSW of Hualien County(23.83N 121.56E, i.e. 19.1 km SSW of Hualien County)
Small area,2024-05-17 15:04:13,121.598,23.9015,3,11.6,23.90N 121.60E, i.e. 10.2 km SSW of Hualien County(23.90N 121.60E, i.e. 10.2 km SSW of Hualien County)
Small area,2024-05-17 13:30:49,121.657,23.9282,3.6,41.4,23.93N 121.66E, i.e. 7.9 km SSE of Hualien County(23.93N 121.66E, i.e. 7.9 km SSE of Hualien County)
Small area,2024-05-17 11:49:56,121.643,23.93,4.7,37.2,23.93N 121.64E, i.e. 7.1 km SSE of Hualien County(23.93N 121.64E, i.e. 7.1 km SSE of Hualien County)
Small area,2024-05-17 10:45:51,121.643,24.0333,3.6,35.8,24.03N 121.64E, i.e. 5.2 km NNE of Hualien County(24.03N 121.64E, i.e. 5.2 km NNE of Hualien County)
Small area,2024-05-17 03:57:42,121.734,24.0252,3.5,26.5,24.03N 121.73E, i.e. 12.2 km ENE of Hualien County(24.03N 121.73E, i.e. 12.2 km ENE of Hualien County)
Small area,2024-05-16 22:52:21,121.655,24.2068,3.6,28.7,24.21N 121.66E, i.e. 24.2 km N of Hualien County(24.21N 121.66E, i.e. 24.2 km N of Hualien County)
392   ,2024-05-16 22:46:24,121.656,24.2113,4.4,28.4,24.21N 121.66E, i.e. 24.7 km N of Hualien County(24.21N 121.66E, i.e. 24.7 km N of Hualien County)
Small area,2024-05-16 11:11:13,121.748,23.8115,3.7,17.5,23.81N 121.75E, i.e. 23.8 km SE of Hualien County(23.81N 121.75E, i.e. 23.8 km SE of Hualien County)
Small area,2024-05-15 02:41:59,121.329,23.9233,3.3,7,23.92N 121.33E, i.e. 30.6 km WSW of Hualien County(23.92N 121.33E, i.e. 30.6 km WSW of Hualien County)
Small area,2024-05-14 21:25:11,121.542,23.7622,3.4,7.6,23.76N 121.54E, i.e. 26.6 km SSW of Hualien County(23.76N 121.54E, i.e. 26.6 km SSW of Hualien County)
Small area,2024-05-14 19:18:41,121.675,24.1847,3.6,34.1,24.18N 121.68E, i.e. 22.2 km NNE of Hualien County(24.18N 121.68E, i.e. 22.2 km NNE of Hualien County)
391   ,2024-05-14 10:34:15,121.691,24.0325,4.7,22.3,24.03N 121.69E, i.e. 8.5 km ENE of Hualien County(24.03N 121.69E, i.e. 8.5 km ENE of Hualien County)
Small area,2024-05-14 05:37:26,121.68,24.2523,3.2,10.5,24.25N 121.68E, i.e. 29.6 km NNE of Hualien County(24.25N 121.68E, i.e. 29.6 km NNE of Hualien County)
Small area,2024-05-13 23:55:44,121.659,24.1127,4,26.9,24.11N 121.66E, i.e. 14.1 km NNE of Hualien County(24.11N 121.66E, i.e. 14.1 km NNE of Hualien County)
Small area,2024-05-13 22:10:54,121.644,23.9032,4,41.2,23.90N 121.64E, i.e. 10.0 km SSE of Hualien County(23.90N 121.64E, i.e. 10.0 km SSE of Hualien County)
390   ,2024-05-13 15:57:27,120.963,23.8212,4.1,21.6,23.82N 120.96E, i.e. 29.2 km ESE of Nantou County(23.82N 120.96E, i.e. 29.2 km ESE of Nantou County)
Small area,2024-05-13 14:06:07,121.857,24.2942,3.4,11.2,24.29N 121.86E, i.e. 41.3 km NE of Hualien County(24.29N 121.86E, i.e. 41.3 km NE of Hualien County)
Small area,2024-05-12 15:14:29,121.292,23.401,3.5,11.9,23.40N 121.29E, i.e. 73.4 km SSW of Hualien County(23.40N 121.29E, i.e. 73.4 km SSW of Hualien County)
Small area,2024-05-12 09:28:52,121.855,24.295,3.1,11.3,24.30N 121.85E, i.e. 41.3 km NE of Hualien County(24.30N 121.85E, i.e. 41.3 km NE of Hualien County)
Small area,2024-05-12 07:48:48,121.668,24.1118,3.6,18.3,24.11N 121.67E, i.e. 14.2 km NNE of Hualien County(24.11N 121.67E, i.e. 14.2 km NNE of Hualien County)
389   ,2024-05-12 05:47:10,121.568,24.0223,4,6.8,24.02N 121.57E, i.e. 6.3 km WNW of Hualien County(24.02N 121.57E, i.e. 6.3 km WNW of Hualien County)
Small area,2024-05-12 04:22:55,121.732,24.228,3.2,16,24.23N 121.73E, i.e. 28.6 km NNE of Hualien County(24.23N 121.73E, i.e. 28.6 km NNE of Hualien County)
388   ,2024-05-12 03:07:33,121.685,24.2377,4.7,18.1,24.24N 121.68E, i.e. 28.1 km NNE of Hualien County(24.24N 121.68E, i.e. 28.1 km NNE of Hualien County)
Small area,2024-05-12 02:36:56,121.689,24.2248,4,31.8,24.22N 121.69E, i.e. 26.8 km NNE of Hualien County(24.22N 121.69E, i.e. 26.8 km NNE of Hualien County)
Small area,2024-05-12 02:36:35,121.662,24.0385,4,25.5,24.04N 121.66E, i.e. 6.8 km NE of Hualien County(24.04N 121.66E, i.e. 6.8 km NE of Hualien County)
Small area,2024-05-11 19:11:14,121.555,23.9408,3.4,9.9,23.94N 121.56E, i.e. 8.6 km SW of Hualien County(23.94N 121.56E, i.e. 8.6 km SW of Hualien County)
387   ,2024-05-11 19:09:18,121.581,23.9212,4.2,7.9,23.92N 121.58E, i.e. 8.7 km SSW of Hualien County(23.92N 121.58E, i.e. 8.7 km SSW of Hualien County)
386   ,2024-05-11 17:44:39,121.742,24.0293,4.9,17.2,24.03N 121.74E, i.e. 13.1 km ENE of Hualien County(24.03N 121.74E, i.e. 13.1 km ENE of Hualien County)
Small area,2024-05-11 13:16:30,121.584,23.873,4,16.6,23.87N 121.58E, i.e. 13.6 km SSW of Hualien County(23.87N 121.58E, i.e. 13.6 km SSW of Hualien County)
385   ,2024-05-11 13:16:01,121.615,23.8778,4.9,5,23.88N 121.61E, i.e. 12.5 km S of Hualien County(23.88N 121.61E, i.e. 12.5 km S of Hualien County)
Small area,2024-05-11 12:35:24,121.632,23.883,3.5,5.4,23.88N 121.63E, i.e. 12.0 km S of Hualien County(23.88N 121.63E, i.e. 12.0 km S of Hualien County)
384   ,2024-05-11 07:07:43,121.599,23.88,4,8.7,23.88N 121.60E, i.e. 12.5 km S of Hualien County(23.88N 121.60E, i.e. 12.5 km S of Hualien County)
Small area,2024-05-11 05:50:58,121.472,23.7623,3.8,8.9,23.76N 121.47E, i.e. 29.5 km SSW of Hualien County(23.76N 121.47E, i.e. 29.5 km SSW of Hualien County)
Small area,2024-05-11 03:57:30,121.837,24.2385,3.5,7.9,24.24N 121.84E, i.e. 35.2 km NE of Hualien County(24.24N 121.84E, i.e. 35.2 km NE of Hualien County)
Small area,2024-05-11 02:08:51,121.818,24.2152,3.6,5,24.22N 121.82E, i.e. 32.0 km NE of Hualien County(24.22N 121.82E, i.e. 32.0 km NE of Hualien County)
Small area,2024-05-11 01:41:27,121.618,23.9115,3.6,10.5,23.91N 121.62E, i.e. 8.8 km S of Hualien County(23.91N 121.62E, i.e. 8.8 km S of Hualien County)
